種類,音,番号,レベル1,レベル2,レベル3
単語,じ,5,じょうり,おうじょ,たんじょうび
単語,じ,6,じょきん,かいじょ,ねんがじょう
単語,じ,7,じょゆう,きんじょ,ひじょうぐち
単語,じ,8,じょうきゃく,きゅうじょ,うんどうじょう
単語,じ,9,じょうだん,じゅんじょ,すいじょうバス
単語,じ,10,じょうほう,しょうじょ,たいじょうもん
単語,じ,11,ジョギング,だんじょ,にゅうじょうけん
単語,じ,12,じょうすいき,ほけんじょ,わらいじょうご
単語,じ,13,じょうしゃけん,はちのく じょ,きゅうじょばしご
単語,じ,14,じょうようしゃ,おやのかいじょ,かいすいよく じょう
単語,じ,15,じょうききかんしゃ,クラスのだんじょ,とうじょうじんぶつ
単語,じ,1,じか,もじ,おじぎ
単語,じ,2,じかん,かじ,とじる
単語,じ,3,じしん,くじ,かじる
単語,じ,4,じぬし,とうじ,ふじさん
単語,じ,5,じぞう,もくじ,あじさい
単語,じ,6,じむしょ,おなじ,いじわる
単語,じ,7,じしゃく,ローマじ,エジプト
単語,じ,8,じがぞう,しおあじ,こじか
単語,じ,9,じんましん,パンきじ,かんじドリル
単語,じ,10,じえいたい,おおそうじ,ドッジボール
単語,じ,11,じんぶつが,だいさんじ,ミュージカル
単語,じ,12,じかんわり,セルフレジ,はじめのいっぽ
単語,じ,13,じっけんしつ,でんしレンジ,ラジオたいそう
単語,じ,14,じかはつでん,トイレそうじ,じどうしゃじこ
単語,じ,15,じどうぶんがく,アラビアすうじ,こっかいぎじどう
単語,す,1,すみ,ます,うすい
単語,す,2,すぐ,かす,くすり
単語,す,3,すな,たす,マスク
単語,す,4,すいか,ようす,わすれる
単語,す,5,すがた,カラス,おむすび
単語,す,6,すこし,アイス,ふんすい
単語,す,7,すいどう,イギリス,かぜぐすり
単語,す,8,ストーブ,とりのす,わすれもの
単語,す,9,すみません,ながいす,レストラン
単語,す,10,すばらしい,オムライス,おおやすうり
単語,す,11,すいようび,あまやかす,プラスチック
単語,す,12,すいぞくかん,いただきます,いすとりゲーム
単語,す,13,スーパーマン,かいてんいす,アイスクリーム
単語,す,14,スタンプカード,うっかりミス,スイミングスクール
単語,す,15,スケートボード,ぼうだんガラス,フルーツバスケット
単語,ず,1,ずが,みず,まずい
単語,ず,2,ずかん,かず,あずき
単語,ず,3,ずのう,ゆず,けずる
単語,ず,4,ずこう,あいず,あずかる
単語,ず,5,ずっしり,おかず,かずのこ
単語,ず,6,ずいぶん,サイズ,しずおか
単語,ず,7,ずぶとい,あまみず,うでずもう
単語,ず,8,ずぶぬれ,おもわず,きずぐすり
単語,ず,9,ずわいがに,パンくず,ちらしずし
単語,ず,10,ずるやすみ,さとうみず,チーズケーキ
単語,ず,11,ずりおちる,こなチーズ,みずようかん
単語,ず,12,ずんどうなべ,うみぼうず,むずかしい
単語,ず,13,ずうずうしい,せけんしらず,みずでっぽう
単語,ず,14,ずがこうさく,おもいがけず,えんぴつけずり
単語,ず,15,ずんぐりむっくり,てるてるぼうず,ずいずいずっころばし
単語,せ,1,せん,みせ,やせる
単語,せ,2,せわ,くせ,かせい
単語,せ,3,せき,にせ,かせき
単語,せ,4,せまい,はかせ,たいせつ
単語,せ,5,せけん,ぜんせ,カプセル
単語,せ,6,せのび,でみせ,にせもの
単語,せ,7,せもたれ,まちぶせ,ちょうせい
単語,せ,8,せんたく,ひやあせ,ランドセル
単語,せ,9,せおよぎ,てあわせ,すみません
単語,せ,10,せいくらべ,まちあわせ,じょうきせん
単語,せ,11,せかいちず,きゃくよせ,しょうがくせい
単語,せ,12,せいいっぱい,くみあわせ,がっこうせいかつ
単語,せ,13,セロハンテープ,なまけぐせ,こうちょうせんせい
単語,せ,14,センターライン,こたえあわせ,はいしゃふっかつせん
単語,せ,15,セレクトショップ,むしのしらせ,ふたござりゅうせいぐん
単語,ぜ,1,ぜろ,おぜ,おぜん
単語,ぜ,2,ぜに,なぜ,まぜる
単語,ぜ,3,ぜひ,ガーゼ,とうぜん
単語,ぜ,4,ぜんぶ,よかぜ,まぜこぜ
単語,ゼ,5,ゼリー,ねこぜ,おりまぜる
単語,ぜ,6,ぜっけい,はなかぜ,まぜかえす
単語,ぜ,7,ぜいたく,おいかぜ,しょうひぜい
単語,ぜ,8,ぜんくつ,はやりかぜ,アルゼンチン
単語,ぜ,9,ぜんじどう,からっかぜ,あんぜんピン
単語,ぜ,10,ぜいむしょ,むかいかぜ,ごぜんちゅう
単語,ぜ,11,ぜんこうじ,ごちゃまぜ,ミルクゼリー
単語,ぜ,12,ゼブラゾーン,ミシマオコゼ,プレゼントいれ
単語,ぜ,13,ぜんごさゆう,おくびょうかぜ,あんぜんうんてん
単語,ぜ,14,ぜっこうちょう,しゅうだんかぜ,あきさめぜんせん
単語,ぜ,15,ぜんげんてっかい,オニダルマオコゼ,しんりんほぜんかつどう
単語,そ,1,そば,みそ,あそぶ
単語,そ,2,そら,よそ,よそう
単語,そ,3,そり,きそ,ざっそう
単語,そ,4,そうじ,およそ,ろうそく
単語,そ,5,そだち,ようそ,かんそう
単語,そ,6,そげき,さんそ,へそのお
単語,そ,7,そうめん,ぬかみそ,にくそぼろ
単語,そ,8,ソックス,しろみそ,きそこうじ
単語,そ,9,そらもよう,なきべそ,アニメソング
単語,そ,10,そとあそび,かわうそ,ときょうそう
単語,そ,11,そっけない,えいようそ,いそぎんちゃく
単語,そ,12,そうかんとく,てまえみそ,きそうてんがい
単語,そ,13,そんがいほけん,まっかなうそ,よそうもんだい
単語,そ,14,そうだんまどぐち,エスプレッソ,みそにこみうどん
単語,そ,15,そうごうびょういん,にさんかたんそ,ゆうさんそうんどう
単語,ぞ,1,ぞう,みぞ,かぞく
単語,ぞ,2,ぞうり,なぞ,がぞう
単語,ぞ,3,ぞうよ,えぞ,みんぞく
単語,ぞ,4,ぞろめ,いくぞ,アマゾン
単語,ぞ,5,ゾンビ,どうぞ,なぞとき
単語,ぞ,6,ぞうきん,せんぞ,せんろぞい
単語,ぞ,7,ぞっこん,なにとぞ,オゾンそう
単語,ぞ,8,ぞくはつ,すごいぞ,せいぞろい
単語,ぞ,9,ゾウリムシ,たのしいぞ,れいぞうこ
単語,ぞ,10,ぞうきばやし,うれしいぞ,アフリカぞう
単語,ぞ,11,ぞんじあげる,たのんだぞ,おじぞうさま
単語,ぞ,12,ぞうかんごう,どうろのみぞ,かいぞくせん
単語,ぞ,13,ぞうせんじょ,おさきにどうぞ,すいぞくかん
単語,ぞ,14,ぞうきんしぼり,こちらへどうぞ,りったいえいぞう
単語,ぞ,15,ぞうかけいこう,めいきゅうのなぞ,けいぞくはちからなり
単語,た,1,たね,いた,あたま
単語,た,2,たか,うた,あたり
単語,た,3,たき,かた,かたな
単語,た,4,たいこ,はた,こたえ
単語,た,5,タオル,ふた,はたけ
単語,た,6,たまご,あした,ほたる
単語,た,7,たまねぎ,かるた,わたし
単語,た,8,たんけん,あなた,いたずら
単語,た,9,たけのこ,まぶた,しいたけ
単語,た,10,たべもの,く わがた,かたかな
単語,た,11,たんぽぽ,ゆうがた,はんたい
単語,た,12,たからもの,まないた,つめたい
単語,た,13,タンバリン,わらべうた,あたらしい
単語,た,14,たんじょうび,つかいかた,かたつむり
単語,た,15,たまごかけごはん,あいうえおかるた,いただきます
単語,だ,1,だい,えだ,くだり
単語,だ,2,だし,くだ,こだま
単語,だ,3,ダム,はだ,とだな
単語,だ,4,だれ,ふだ,はだし
単語,だ,5,だいく,むだ,ひだり
単語,だ,6,だいず,あいだ,ペダル
単語,だ,7,だるま,からだ,めだか
単語,だ,8,だんご,サラダ,えだまめ
単語,だ,9,ダンス,なふだ,くだもの
単語,だ,10,だいこん,なみだ,サンダル
単語,だ,11,だいじん,パンダ,てつだい
単語,だ,12,だいぶつ,らくだ,ともだち
単語,だ,13,だいどころ,オランダ,おとしだま
単語,だ,14,ダンボール,ベランダ,すべりだい
単語,だ,15,ダイヤモンド,レッサーパンダ,みたらしだんご
単語,ち,1,ちゃいろ,おちゃ,おちゃづけ
単語,ち,2,チャック,こうちゃ,おちゃかい
単語,ち,3,ちゃわん,おもちゃ,ケチャップ
単語,ち,4,チャイム,かぼちゃ,とうちゃく
単語,ち,5,ちゃんと,まっちゃ,ぺちゃんこ
単語,ち,6,チャンス,むぎちゃ,こげちゃいろ
単語,ち,7,ちゃく せき,ほうじちゃ,がちゃがちゃ
単語,ち,8,ちゃく りく,りょく ちゃ,ごちゃごちゃ
単語,ち,9,ちゃく ばらい,げんまいちゃ,めちゃく ちゃ
単語,ち,10,チャーハン,ウーロンちゃ,いそぎんちゃく
単語,ち,11,チャレンジ,こいこうちゃ,まっちゃアイス
単語,ち,12,チャンネル,く りかぼちゃ,せっちゃく ざい
単語,ち,13,チャンピオン,はとむぎちゃ,おもちゃやさん
単語,ち,14,チャイナドレス,すきなおもちゃ,こうちゃのムース
単語,ち,15,チャイルドシート,パックのほうじちゃ,ピッチャーこうたい
単語,ち,1,ちゅうい,ここで、 チュ！,シチュー
単語,ち,2,ちゅうか,たって、 チュ！,こんちゅう
単語,ち,3,ちゅうしん,ママと、 チュ！,うちゅうせん
単語,ち,4,ちゅうかん,パパと、 チュ！,とちゅうげしゃ
単語,ち,5,ちゅうごく,おでこに、 チュ！,さっちゅうざい
単語,ち,6,ちゅうもん,おひざで、 チュ！,ビーフシチュー
単語,ち,7,ちゅうとろ,すわって、 チュ！,ひやしちゅうか
単語,ち,8,チューリップ,だいすき、 チュ！,なまちゅうけい
単語,ち,9,ちゅうがえり,だっこで、 チュ！,すいちゅうめがね
単語,ち,10,ちゅうがく せい,ほっぺに、 チュ！,しょちゅうみまい
単語,ち,11,ちゅうとはんぱ,わらって、 チュ！,よぼうちゅうしゃ
単語,ち,12,ちゅうしゃじょう,ないしょで、 チュ！,く うちゅうぶらんこ
単語,ち,13,チューインガム,おじいちゃんと、 チュ！,うちゅうせんかん
単語,ち,14,ちゅうごく たいりく,おばあちゃんと、 チュ！,かいちゅうでんとう
単語,ち,15,ちゅうおうこうそく,けっこんしきで、 チュ！,しゅうちゅうりょく
単語,ち,1,ちょう,く ちょ,だちょう
単語,ち,2,ちょうし,ぐちょ,しゃちょう
単語,ち,3,ちょうど,ねちょ,あげはちょう
単語,ち,4,ちょきん,ぬちょ,こちょうらん
単語,ち,5,チョーク,ぴちょ,しろチョーク
単語,ち,6,ちょうせん,びちょ,ミルクチョコ
単語,ち,7,ちょうかん,ぺちょ,もうちょっと
単語,ち,8,ちょうだい,べちょ,あかちょうちん
単語,ち,9,ちょうちん,ぽちょ,しゃちょうしつ
単語,ち,10,ちょく せん,ぼちょ,はつちょうせん
単語,ち,11,ちょんまげ,けんちょ,いっちょく せん
単語,ち,12,ちょうじょう,じょうちょ,いちょうなみき
単語,ち,13,チョコレート,ちゅうちょ,えきちょうしつ
単語,ち,14,ちょうせんじょう,ちょうちょ,きちょうひんいれ
単語,ち,15,ちょうとっきゅう,ぐちゃぐちょ,おっちょこちょい
単語,ち,1,ちず,うち,いちご
単語,ち,2,ちか,く ち,いちば
単語,ち,3,ちかい,つち,うちわ
単語,ち,4,ちこく,まち,おちば
単語,ち,5,チーズ,みち,く ちばし
単語,ち,6,チーム,でぐち,く ちぶえ
単語,ち,7,ちかてつ,あっち,はちまき
単語,ち,8,ちかしつ,でんち,もちつき
単語,ち,9,ちいさい,まっち,こんにちは
単語,ち,10,ちりとり,いりぐち,にちようび
単語,ち,11,チンパンジー,ちかみち,まちあわせ
単語,ち,12,ちへいせん,ともだち,ようちえん
単語,ち,13,ちらしずし,みつばち,ごちそうさま
単語,ち,14,チーズケーキ,ゆうえんち,はやく ちことば
単語,ち,15,ちかしょうてんがい,サンドイッチ,もちつきたいかい
単語,つ,1,つめ,く つ,あつい
単語,つ,2,つき,なつ,かつお
単語,つ,3,つち,ねつ,きつね
単語,つ,4,つの,おやつ,ひつじ
単語,つ,5,つく え,きせつ,まつげ
単語,つ,6,つく し,こたつ,まつり
単語,つ,7,つばさ,ひとつ,おつかい
単語,つ,8,つばめ,ひみつ,く つした
単語,つ,9,つみき,あいさつ,てつぼう
単語,つ,10,つぼみ,えんとつ,たつまき
単語,つ,11,つよい,いちがつ,みつばち
単語,つ,12,つけもの,たいせつ,かたつむり
単語,つ,13,ついたち,どうぶつ,げつようび
単語,つ,14,つなわたり,はちみつ,なつやすみ
単語,つ,15,つきみそう,チョコドーナツ,そつぎょうしき
単語,て,1,て,たて,はてな
単語,て,2,てつ,きて,ポテト
単語,て,3,てがみ,あいて,ホテル
単語,て,4,テスト,おもて,アンテナ
単語,て,5,テント,ききて,カステラ
単語,て,6,テニス,きって,ちかてつ
単語,て,7,てつぼう,みぎて,たてふだ
単語,て,8,てぶく ろ,めあて,すいてき
単語,て,9,てっぽう,よてい,あんてい
単語,て,10,てんぷら,りょうて,じてんしゃ
単語,て,11,てんさい,できたて,もく てきち
単語,て,12,てんどん,はじめて,していせき
単語,て,13,てんきよほう,ひだりて,ろてんぶろ
単語,て,14,てんとうむし,ほんたて,あわてんぼう
単語,て,15,ていりゅうじょ,えんぴつたて,ゴールテープ
単語,で,1,でし,うで,おでこ
単語,で,2,デマ,すで,ビデオ
単語,で,3,デモ,そで,モデル
単語,で,4,デート,ふで,アイデア
単語,で,5,でぐち,いえで,なでしこ
単語,で,6,でばん,かえで,ふでばこ
単語,で,7,でんき,ついで,やまでら
単語,で,8,でんわ,ひとで,うでどけい
単語,で,9,できごと,むかで,いとでんわ
単語,で,10,でこぼこ,おもいで,おめでとう
単語,で,11,デザート,ゲレンデ,シンデレラ
単語,で,12,デザイン,ながそで,ゆでたまご
単語,で,13,でいりぐち,みぎうで,みずでっぽう
単語,で,14,でんしレンジ,はつもうで,でんでんむし
単語,で,15,でんぐりがえし,あかいふりそで,けいたいでんわ
単語,と,1,とら,いと,ことり
単語,と,2,とけい,はと,ひとつ
単語,と,3,トマト,しごと,あやとり
単語,と,4,とうふ,わざと,えんとつ
単語,と,5,とうめい,テスト,しりとり
単語,と,6,とうげい,ノート,ストップ
単語,と,7,とつぜん,ポスト,ストロー
単語,と,8,トナカイ,ポテト,にわとり
単語,と,9,とびばこ,いもうと,なわとび
単語,と,10,トランプ,あしおと,いととんぼ
単語,と,11,ともだち,スケート,おとうさん
単語,と,12,としょかん,ポケット,かぶとむし
単語,と,13,とんでもない,プレゼント,ひとりごと
単語,と,14,とうもろこし,ヨーグルト,ひとさしゆび
単語,と,15,とっきゅうれっしゃ,チョコレート,あとかたづけ
単語,ど,1,ドア,かど,おどり
単語,ど,2,どこ,のど,こども
単語,ど,3,どて,まど,ねどこ
単語,ど,4,どれ,やど,みどり
単語,ど,5,どろ,あみど,かどまつ
単語,ど,6,どうぐ,カード,ゴンドラ
単語,ど,7,どせい,ベッド,ハンドル
単語,ど,8,どだい,ねんど,やどかり
単語,ど,9,ドレス,バンド,いきどまり
単語,ど,10,どうろ,やけど,うでどけい
単語,ど,11,ドーナツ,スピード,じどうドア
単語,ど,12,どうぶつ,カスタード,ランドセル
単語,ど,13,どようび,グラウンド,うんどうかい
単語,ど,14,ドッジボール,まがりかど,サンドイッチ
単語,ど,15,ドレッシング,ディズニーランド,こうそくどうろ
単語,な,1,ない,あな,あなた
単語,な,2,なえ,こな,うなぎ
単語,な,3,なか,すな,おなか
単語,な,4,なく,たな,きなこ
単語,な,5,なし,つな,すなば
単語,な,6,なす,はな,せなか
単語,な,7,なみ,ひな,となり
単語,な,8,なべ,わな,はなび
単語,な,9,なかま,あてな,わなげ
単語,な,10,ナイフ,おとな,かみなり
単語,な,11,なまえ,さかな,こなゆき
単語,な,12,ながぐつ,ひらがな,つなひき
単語,な,13,なきごえ,おしばな,まないた
単語,な,14,なわとび,ほんだな,ひなまつり
単語,な,15,なつやすみ,おとしあな,ごめんなさい
単語,に,1,にゃんこ,ふにゃ,こんにゃく
単語,に,2,にゃんた,へにゃ,くにゃくにゃ
単語,に,3,にゃんすけ,ほにゃ,へにゃへにゃ
単語,に,4,にゃんぺい,ぽにゃ,ほにゃほにゃ
単語,に,5,にゃんきち,ぺにゃ,ぽにゃぽにゃ
単語,に,6,にゃんじろう,エスパーニャ,ぺにゃぺにゃ
単語,に,7,にゃんごろう,またきてにゃ,ぐにゃぐにゃ
単語,に,8,にゃんたろう,かわいいにゃ,いたこんにゃく
単語,に,9,にゃんざぶろう,だいすきだにゃ,たまこんにゃく
単語,に,10,にゃんこのすけ,きをつけてにゃ,さしみこんにゃく
単語,に,1,ニュー,ぐにゅ！,メニュー
単語,に,2,ニュース,ぶにゅ！,ぎゅうにゅう
単語,に,3,にゅういん,ぷにゅ！,ほにゅうびん
単語,に,4,にゅうがく,くにゅ！,グッドニュース
単語,に,5,にゅうえん,ぽにゅ！,しんにゅうせい
単語,に,6,ニュートン,ぼにゅ！,せんにゅうかん
単語,に,7,にゅうどうぐも,ふにゅ！,しんにゅうきんし
単語,に,8,にゅうじょうけん,はにゅ！,こうにゅうとくてん
単語,に,9,にゅうかいきやく,うにゅ！,ゆにゅうしょくひん
単語,に,10,ニュージーランド,ごにゅ！,パプアニューギニア
単語,に,1,にょこっ！,ぐにょ！,ぐにょにょ！
単語,に,2,にょきっ！,ぶにょ！,ぷにょにょ！
単語,に,3,にょろっ！,ふにょ！,ふにょにょ！
単語,に,4,にょろーん,ぷにょ！,ぷにょにょ！
単語,に,5,にょろーり,くにょ！,くにょにょ！
単語,に,6,にょいぼう,ぼにょ！,ぼにょにょ！
単語,に,7,にょうぼう,ぽにょ！,ぽにょにょ！
単語,に,8,にょききき！,ほにょ！,ごにょごにょ
単語,に,9,にょろろろ！,ごにょ！,にょきにょき
単語,に,10,にょらいぞう,てんにょ,にょろにょろ
単語,に,1,にく,うに,テニス
単語,に,2,にし,おに,ひにち
単語,に,3,にら,かに,いちにち
単語,に,4,にわ,くに,おにぎり
単語,に,5,にじ,わに,きんにく
単語,に,6,におい,けがに,とりにく
単語,に,7,にかい,こぜに,ぶたにく
単語,に,8,にがて,ぞうに,ぎゅうにく
単語,に,9,にぼし,つみに,おにごっこ
単語,に,10,にもつ,くちべに,こんにちは
単語,に,11,にんき,ざりがに,おにやんま
単語,に,12,にがおえ,ゆきぐに,おにいさん
単語,に,13,にわとり,マカロニ,ランニング
単語,に,14,にんじん,たらばがに,ごにんばやし
単語,に,15,にちようび,めかくしおに,ゆびにんぎょう
単語,ぬ,1,ぬま,いぬ,たぬき
単語,ぬ,2,ぬの,きぬ,てぬき
単語,ぬ,3,ぬし,こいぬ,くぬぎ
単語,ぬ,4,ぬりえ,おやいぬ,いぬかき
単語,ぬ,5,ぬるい,かいいぬ,いぬごや
単語,ぬ,6,ぬいばり,のらいぬ,いぬどし
単語,ぬ,7,ぬいもの,こまいぬ,かいぬし
単語,ぬ,8,ぬかるみ,おおいぬ,きぬいと
単語,ぬ,9,ぬくもり,しばいぬ,ばばぬき
単語,ぬ,10,ぬりかべ,とさいぬ,もちぬし
単語,ぬ,11,ぬけがら,しろいきぬ,たぬきそば
単語,ぬ,12,ぬるまゆ,くろいきぬ,ペンキぬり
単語,ぬ,13,ぬいぐるみ,ちゃいろいきぬ,きぬおりもの
単語,ぬ,14,ぬぎすてる,うちのいぬ,さぬきうどん
単語,ぬ,15,ぬらりひょん,となりのいぬ,きぬごしどうふ
単語,ね,1,ねこ,ふね,こねこ
単語,ね,2,ねる,はね,いねむり
単語,ね,3,ねつ,たね,たねまき
単語,ね,4,ねぎ,やね,トンネル
単語,ね,5,ねじ,ほね,ながねぎ
単語,ね,6,ねずみ,おかね,はねつき
単語,ね,7,ねごと,めがね,みけねこ
単語,ね,8,ねんど,きつね,おねえさん
単語,ね,9,ねぐせ,ゆぶね,かみねんど
単語,ね,10,ねだん,ひるね,こがねむし
単語,ね,11,ネクタイ,せぼね,はりねずみ
単語,ね,12,ねがえり,うたたね,まねきねこ
単語,ね,13,ねがいごと,なきまね,いちねんせい
単語,ね,14,ねったいぎょ,たすけぶね,たぬきねいり
単語,ね,15,ねんがじょう,むしめがね,プラネタリウム
単語,の,1,のど,おの,いのち
単語,の,2,のむ,つの,えのぐ
単語,の,3,のり,ぬの,きのこ
単語,の,4,のうか,もの,せのび
単語,の,5,ノート,きもの,あおのり
単語,の,6,のはら,すその,いのしし
単語,の,7,のやま,はもの,かずのこ
単語,の,8,のんき,ピアノ,たけのこ
単語,の,9,のうさぎ,いきもの,てのひら
単語,の,10,のこぎり,くだもの,あまのがわ
単語,の,11,のどあめ,はなぞの,こいのぼり
単語,の,12,のりしろ,もちもの,ものがたり
単語,の,13,のりまき,おとしもの,やまのぼり
単語,の,14,のぼりざか,たからもの,モノレール
単語,の,15,のりかええき,グランドピアノ,となりのいえ
単語,は,1,はえ,あげは,おはぎ
単語,は,2,はこ,かれは,おはな
単語,は,3,はし,このは,しはつ
単語,は,4,はた,うえのは,のはら
単語,は,5,はね,おく のは,みはり
単語,は,6,ハム,かきのは,おはじき
単語,は,7,はがき,ぎんのは,えはがき
単語,は,8,はさみ,く ろいは,おはよう
単語,は,9,はしご,ささのは,すなはま
単語,は,10,はたけ,したのは,なのはな
単語,は,11,はなび,しろいは,あげはちょう
単語,は,12,はく さい,みぎのは,あさごはん
単語,は,13,はちみつ,さく らのは,ふく らはぎ
単語,は,14,ハンカチ,ひだりのは,せんこうはなび
単語,は,15,ハンバーグ,もみじのは,セロハンテープ
単語,ば,1,バス,おば,かばん
単語,ば,2,バネ,カバ,じばん
単語,ば,3,バラ,さば,とばす
単語,ば,4,ばしょ,そば,きばる
単語,ば,5,ばあい,たば,くばる
単語,ば,6,バイク,はば,こばん
単語,ば,7,バイト,ヒバ,あばれる
単語,ば,8,バケツ,ゆば,おばさん
単語,ば,9,バスケ,ロバ,がんばる
単語,ば,10,バック,おおば,てばさき
単語,ば,11,バッジ,かいば,バラバラ
単語,ば,12,バット,アメーバ,ふんばる
単語,ば,13,バトン,やらねば,モバイル
単語,ば,14,バナナ,はしらねば,かっとばす
単語,ば,15,ばあちゃん,まにあわせねば,サバイバル
単語,ぱ,1,パイ,パパ,スパイ
単語,ぱ,2,パス,かっぱ,アパート
単語,ぱ,3,パリ,でんぱ,いっぱい
単語,ぱ,4,パン,なっぱ,かんぱい
単語,ぱ,5,パイプ,はっぱ,クレパス
単語,ぱ,6,パスタ,ラッパ,さんぱつ
単語,ぱ,7,パズル,りっぱ,しんぱい
単語,ぱ,8,パセリ,おかっぱ,デパート
単語,ぱ,9,パンダ,スリッパ,やっぱり
単語,ぱ,10,パンツ,はらっぱ,ワイパー
単語,ぱ,11,パンチ,あまがっぱ,しゅっぱつ
単語,ぱ,12,パトカー,おおざっぱ,フライパン
単語,ぱ,13,パラソル,ヨーロッパ,メロンパン
単語,ぱ,14,パイロット,ちゅうとはんぱ,チンパンジー
単語,ぱ,15,パイナップル,ぼうがいでんぱ,ジグソーパズル
単語,ひ,1,ひゃあ！,あひゃ！,にひゃく
単語,ひ,2,ひゃく,うひゃ！,ごひゃく
単語,ひ,3,ひゃく いち,どひゃ！,よんひゃく
単語,ひ,4,ひゃく えん,ふひゃ！,ななひゃく
単語,ひ,5,ひゃく てん,く まだ、 ひゃ！,きゅうひゃく
単語,ひ,6,ひゃっきん,サメだ、 ひゃ！,にひゃく えん
単語,ひ,7,ひゃっかてん,へびだ、 ひゃ！,ごひゃく えん
単語,ひ,8,ひゃっかじてん,おばけだ、 ひゃ！,よんひゃく えん
単語,ひ,9,ひゃく どまいり,むかでだ、 ひゃ！,ななひゃく えん
単語,ひ,10,ひゃく にちそう,ライオンだ、 ひゃ！,きゅうひゃく えん
単語,ひ,1,ひゅう,かが、 ひゅ！,ひゅうひゅう
単語,ひ,2,ひゅん,やが、 ひゅ！,ひゅるひゅる
単語,ひ,3,ひゅうが,いきが、 ひゅ！,いきが、 ひゅうひゅう
単語,ひ,4,ヒューズ,かぜが、 ひゅ！,かぜが、 ひゅうひゅう
単語,ひ,5,ひゅうがし,たかが、 ひゅ！,やが、 ひゅるひゅる
単語,ひ,6,ヒューマン,とりが、 ひゅ！,かぜが、 ひゅるひゅる
単語,ひ,7,ひゅうがなだ,ねこが、 ひゅ！,かみが、 ひゅるひゅる
単語,ひ,8,ひゅうがなつ,むしが、 ひゅ！,ゆきが、 ひゅるひゅる
単語,ひ,9,ヒューストン,からすが、 ひゅ！,リボンが、 ひゅるひゅる
単語,ひ,10,ヒューマンエラー,とんびが、 ひゅ！,わたげが、 ひゅるひゅる
単語,ひ,1,ひょう,あひょ！,ずひょう
単語,ひ,2,ひょうか,うひょ！,ちひょう
単語,ひ,3,ひょうし,どひょ！,どひょう
単語,ひ,4,ひょんな,ぬひょ！,こうひょう
単語,ひ,5,ひょうげん,ふひょ！,だいひょう
単語,ひ,6,ひょうしき,ぶひょ！,とうひょう
単語,ひ,7,ひょうたん,ぷひょ！,もく ひょう
単語,ひ,8,ひょうばん,むひょ！,じこく ひょう
単語,ひ,9,ひょうてんか,ひょひょ,よていひょう
単語,ひ,10,ひょうろんか,ひょっひょ,どうろひょうしき
単語,ひ,1,ひげ,きょひ,あひる
単語,ひ,2,ひざ,ぜひ,おひる
単語,ひ,3,ひな,まひ,おひれ
単語,ひ,4,ひま,あさひ,まひる
単語,ひ,5,ひも,おうひ,あごひげ
単語,ひ,6,ひがし,かいひ,おとひめ
単語,ひ,7,ひだり,がく ひ,おひるね
単語,ひ,8,ひつじ,ゆうひ,く つひも
単語,ひ,9,ひよこ,あく るひ,さく ひん
単語,ひ,10,ひろば,うみのひ,つなひき
単語,ひ,11,ひこうき,きねんひ,てのひら
単語,ひ,12,ひまわり,やまのひ,おひめさま
単語,ひ,13,ひさしぶり,こうつうひ,く りひろい
単語,ひ,14,ひなまつり,こどものひ,しおひがり
単語,ひ,15,ひとさしゆび,せいかつひ,しらゆきひめ
単語,び,1,びゃく,あびゃ！,さんびゃく
単語,び,2,びゃく え,うびゃ！,なんびゃく
単語,び,3,びゃっこ,おびゃ！,さんびゃく こ
単語,び,4,びゃく や,く びゃ！,さんびゃく えん
単語,び,5,びゃく げつ,こびゃ！,さんびゃく キロ
単語,び,6,びゃく ごう,そびゃ！,さんびゃく にん
単語,び,7,びゃく だん,たびゃ！,さんびゃく ねん
単語,び,8,びゃく れん,とびゃ！,さんびゃく まん
単語,び,9,びゃく やこう,ふびゃ！,なんびゃく にん
単語,び,10,びゃっこたい,ぶびゃ！,さんびゃく まんえん
単語,び,1,ビュー,あびゅ！,デビュー
単語,び,2,びゅっ！,うびゅ！,レビュー
単語,び,3,びゅーん！,おびゅ！,プレビュー
単語,び,4,ビュッフェ,く びゅ！,インタビュー
単語,び,5,ビューロー,さびゅ！,デジャビュ—
単語,び,6,ビューワー,ほびゅ！,ソロデビュー
単語,び,7,ビューティー,むびゅ！,プロデビュー
単語,び,8,ビューティフル,もびゅ！,ドラマデビュー
単語,び,9,ビューポイント,ぐびゅ！,パノラマビュー
単語,び,10,ビューティーサロン,ばびゅ！,テレビインタビュー
単語,び,1,びょう,うびょ！,がびょう
単語,び,2,びょうが,とびょ！,けびょう
単語,び,3,びょうき,ぬびょ！,にびょう
単語,び,4,びょうご,ねびょ！,いちびょう
単語,び,5,びょうぶ,のびょ！,おく びょう
単語,び,6,びょういん,ふびょ！,かんびょう
単語,び,7,びょうどう,へびょ！,てびょうし
単語,び,8,びょうよみ,ほびょ！,せびょうし
単語,び,9,びょうじゃく,ぶびょ！,さんびょうし
単語,び,10,びょうききゅうか,ぷびょ！,とんとんびょうし
単語,び,1,びか,えび,あびる
単語,び,2,ビス,おび,おびれ
単語,び,3,びわ,きび,くびわ
単語,び,4,びん,くび,こびと
単語,び,5,ビーム,さび,さびる
単語,び,6,ビール,たび,せびれ
単語,び,7,ビンゴ,ナビ,のびる
単語,び,8,びじん,ひび,まきびし
